,No,Kabupaten / County,new_treatment,total_treatment,new_recovered,total_recovered,new_deaths,total_deaths,new_cases,total_cases,Date,new PPLN/PMI,total history-of-foreign-travel/ migrant-worker (PPLN/PMI),new domestic-travel-history,total domestic-travel-history (PPDN),new_local_transmission,total_local_transmission,new_other_transmission,total_other_transmission,Name_EN,Name_Indo,Capital,area_km2,population_2000,population_2010,population_2015,HDI_2014_estimate,Gouvernor,Nr. of Sub-Districts,Nr of Keluruhan/Villages,total_cases_per_100k,total_deaths_per_100k,cases7,cases7_per_100k,deaths7,deaths7_per_100k,CFR,growth_rate_new_cases,id
0,1,JEMBRANA,-7,70,7,579,1,14,1,663,2020-12-05,0,26,0,11,1,626,0,0,Jembrana,Jembrana,Negara,841.80,231.806,261.638,271.423,0.686 (Medium),I Putu Artha,5.0,10/41,244.27,5.16,,,,,2.11,,5
1,2,TABANAN,-10,434,35,1016,0,47,25,1497,2020-12-05,0,21,2,10,23,1466,0,0,Tabanan,Tabanan,Tabanan,839.30,376.03,420.913,435.753,0.726 (High),Ni Putu Eka Wiryastuti,10.0,-/133,343.54,10.79,,,,,3.14,,9
2,3,BADUNG,-9,159,27,2299,0,51,18,2509,2020-12-05,0,27,0,4,18,2478,0,0,Badung,Badung,Mangupura,418.52,345.863,543.332,615.148,0.779 (High),I Nyoman Giri Prasta,6.0,16/46,407.87,8.29,,,,,2.03,,1
3,4,DENPASAR,1,166,26,3705,0,90,27,3961,2020-12-05,0,48,-1,22,28,3891,0,0,Denpasar,Kota Denpasar,Denpasar,127.78,532.44,788.589,879.098,0.816 (Very High),Ida Bagus Rai Dharmawijaya Mantra,4.0,16/27,450.58,10.24,,,,,2.27,,8
4,5,GIANYAR,-16,234,31,1681,0,75,15,1990,2020-12-05,0,29,-1,10,16,1951,0,0,Gianyar,Gianyar,Gianyar,368.00,393.155,469.777,494.729,0.742 (High),I Made Agus Mahayastra,7.0,6/64,402.24,15.16,,,,,3.77,,4
5,6,BANGLI,-1,8,1,842,0,35,0,885,2020-12-05,0,58,0,3,0,824,0,0,Bangli,Bangli,Bangli,490.71,193.776,215.353,222.474,0.657 (Medium),I Made Gianyar,4.0,4/68,397.8,15.73,,,,,3.95,,2
6,7,KLUNGKUNG,0,9,0,918,0,20,0,947,2020-12-05,0,19,0,0,0,928,0,0,Klungkung,Klungkung,Semarapura,315.00,155.262,170.543,175.573,0.683 (Medium),I Nyoman Suwirta,4.0,6/53,539.38,11.39,12.285714285714286,7.0,0.14285714285714285,10.97,2.11,,7
7,8,KARANGASEM,-3,14,3,964,0,51,0,1029,2020-12-05,0,23,0,0,0,1006,0,0,Karangasem,Karangasem,Amlapura,839.54,360.486,396.487,408.487,0.640 (Medium),I Gusti Ayu Mas Sumatri,8.0,3/75,251.91,12.49,12.142857142857142,2.97,0.0,12.01,4.96,-1.0,6
8,9,BULELENG,1,59,4,1101,0,59,5,1219,2020-12-05,0,41,0,6,5,1172,0,0,Buleleng,Buleleng,Singaraja,"1,364.73",558.181,624.125,645.893,0.691 (Medium),Putu Agus Suradnyana,9.0,19/129,188.73,9.13,9.285714285714286,1.44,0.0,11.78,4.84,-0.8,3
9,10,KABUPATEN LAINNYA,-1,4,1,44,0,1,0,49,2020-12-05,0,5,0,31,0,13,0,0,Kabupaten lainnya,,,,,,,,,,,,,6.714285714285714,,0.0,,2.04,-1.0,0
